function_name,start_address,end_address,size_bytes
LAB_80026664,0x80026664,0x80026694,48
LAB_80026694,0x80026694,0x800266AC,24
LAB_80026724,0x80026724,0x8002673C,24
LAB_80026840,0x80026840,0x800268A0,96
FUN_80036114,0x80036114,0x80036158,68
LAB_80026944,0x80026944,0x80026964,32
LAB_80027050,0x80027050,0x80027094,68
LAB_80027034,0x80027034,0x80027050,28
LAB_80027010,0x80027010,0x80027034,36
FUN_80036910,0x80036910,0x80036914,4
FUN_80027094,0x80027094,0x80027098,4
LAB_80036978,0x80036978,0x800369A4,44
LAB_80027218,0x80027218,0x8002724C,52
LAB_80027328,0x80027328,0x80027344,28
LAB_80027344,0x80027344,0x800273B8,116
LAB_80027560,0x80027560,0x80027590,48
LAB_80027684,0x80027684,0x80027688,4
LAB_80027590,0x80027590,0x800275C0,48
LAB_80027754,0x80027754,0x8002779C,72
LAB_80037174,0x80037174,0x800371A8,52
FUN_80037288,0x80037288,0x800372D0,72
LAB_80037234,0x80037234,0x80037288,84
FUN_80037438,0x80037438,0x8003744C,20
FUN_80039980,0x80039980,0x80039984,4
LAB_80028000,0x80028000,0x80028014,20
LAB_80028014,0x80028014,0x80028024,16
LAB_80028048,0x80028048,0x80028070,40
LAB_80028070,0x80028070,0x80028074,4
FUN_80028328,0x80028328,0x800283CC,164
LAB_80028840,0x80028840,0x80028870,48
LAB_80028870,0x80028870,0x800288A4,52
FUN_80038304,0x80038304,0x80038344,64
LAB_80028968,0x80028968,0x800289C4,92
FUN_80038530,0x80038530,0x80038550,32
LAB_80029088,0x80029088,0x800290AC,36
LAB_80029144,0x80029144,0x800291B0,108
LAB_80029344,0x80029344,0x80029384,64
LAB_80029338,0x80029338,0x80029344,12
LAB_80029508,0x80029508,0x80029528,32
LAB_80029384,0x80029384,0x800294A0,284
FUN_80029528,0x80029528,0x80029564,60
LAB_80029564,0x80029564,0x800295B0,76
FUN_80038264,0x80038264,0x800382B4,80
LAB_80029668,0x80029668,0x80029684,28
LAB_80029850,0x80029850,0x80029890,64
LAB_80029890,0x80029890,0x800298C4,52
LAB_80029968,0x80029968,0x800299E4,124
FUN_80039460,0x80039460,0x8003949C,60
FUN_80039608,0x80039608,0x8003964C,68
FUN_80041560,0x80041560,0x8004157C,28
FUN_80041604,0x80041604,0x80041674,112
FUN_80062470,0x80062470,0x800624FC,140
FUN_80041878,0x80041878,0x80041894,28
FUN_80041820,0x80041820,0x80041860,64
FUN_80041994,0x80041994,0x800419E0,76
FUN_80030134,0x80030134,0x80030150,28
FUN_80030158,0x80030158,0x80030180,40
FUN_80030180,0x80030180,0x800301CC,76
LAB_80030310,0x80030310,0x8003033C,44
LAB_80030228,0x80030228,0x80030250,40
LAB_80030250,0x80030250,0x80030268,24
LAB_80030290,0x80030290,0x800302C4,52
LAB_80030378,0x80030378,0x80030398,32
LAB_80030404,0x80030404,0x80030408,4
LAB_80030430,0x80030430,0x80030460,48
LAB_80030460,0x80030460,0x8003048C,44
LAB_80030518,0x80030518,0x80030554,60
LAB_80030554,0x80030554,0x80030584,48
LAB_80030584,0x80030584,0x800305BC,56
FUN_80040098,0x80040098,0x800400A4,12
FUN_80040470,0x80040470,0x80040474,4
LAB_80040474,0x80040474,0x8004047C,8
FUN_80040498,0x80040498,0x800404C0,40
FUN_80040534,0x80040534,0x80040550,28
FUN_80040570,0x80040570,0x80040660,240
FUN_80040688,0x80040688,0x8004068C,4
LAB_80040710,0x80040710,0x8004074C,60
LAB_80040864,0x80040864,0x80040868,4
LAB_80031060,0x80031060,0x80031068,8
LAB_80040868,0x80040868,0x80040888,32
LAB_80031068,0x80031068,0x8003107C,20
FUN_80040928,0x80040928,0x80040954,44
FUN_80031128,0x80031128,0x800311A0,120
LAB_80031208,0x80031208,0x80031244,60
LAB_80031244,0x80031244,0x80031258,20
LAB_80031308,0x80031308,0x80031318,16
LAB_80031294,0x80031294,0x800312AC,24
LAB_80031364,0x80031364,0x80031380,28
LAB_80031380,0x80031380,0x80031398,24
LAB_80031398,0x80031398,0x800313C8,48
FUN_80031400,0x80031400,0x80031438,56
FUN_80031438,0x80031438,0x80031478,64
FUN_80031478,0x80031478,0x80031490,24
LAB_80031520,0x80031520,0x8003154C,44
LAB_80031600,0x80031600,0x80031604,4
LAB_80031560,0x80031560,0x80031578,24
LAB_80031578,0x80031578,0x800315A8,48
LAB_80031604,0x80031604,0x8003160C,8
FUN_80031630,0x80031630,0x800316DC,172
LAB_80031720,0x80031720,0x80031738,24
LAB_80031738,0x80031738,0x80031764,44
LAB_80031764,0x80031764,0x8003177C,24
LAB_80031798,0x80031798,0x800317B0,24
FUN_80031814,0x80031814,0x8003184C,56
LAB_80031878,0x80031878,0x80031890,24
LAB_80031864,0x80031864,0x80031874,16
LAB_80031890,0x80031890,0x800318A8,24
LAB_80031948,0x80031948,0x8003195C,20
LAB_80031934,0x80031934,0x80031938,4
LAB_80031994,0x80031994,0x800319A0,12
LAB_80031960,0x80031960,0x8003196C,12
LAB_80031978,0x80031978,0x80031994,28
FUN_80041458,0x80041458,0x80041460,8
LAB_80041558,0x80041558,0x80041560,8
FUN_80041674,0x80041674,0x8004167C,8
LAB_80041764,0x80041764,0x8004176C,8
FUN_80032334,0x80032334,0x8003235C,40
LAB_80032394,0x80032394,0x800323B8,36
LAB_80032444,0x80032444,0x8003244C,8
LAB_80032470,0x80032470,0x80032480,16
LAB_80032480,0x80032480,0x800324E8,104
LAB_80032508,0x80032508,0x80032514,12
FUN_80032514,0x80032514,0x80032588,116
FUN_80041014,0x80041014,0x8004108C,120
LAB_80032588,0x80032588,0x800325A0,24
LAB_80032618,0x80032618,0x80032630,24
FUN_80032638,0x80032638,0x80032694,92
LAB_80032708,0x80032708,0x8003274C,68
LAB_80032758,0x80032758,0x80032784,44
